clinic_location,appointment_date,hour_of_day,scheduled_appointments,attended_appointments,completed_appointments,avg_wait_time_minutes,walked_out_appointments,providers_scheduled,appointments_per_provider
Central City,2026-01-01,7,1,1,1,11.0,0,0,
Central City,2026-01-01,8,3,3,3,0.0,0,2,1.5
Central City,2026-01-01,9,6,6,6,0.0,0,3,2.0
Central City,2026-01-01,10,11,11,10,4.9,1,3,3.67
Central City,2026-01-01,11,10,7,6,20.5,1,3,2.33
Central City,2026-01-01,12,1,0,0,,0,3,0.0
Central City,2026-01-01,13,2,2,2,0.0,0,3,0.67
Central City,2026-01-01,14,2,1,1,0.0,0,3,0.33
Central City,2026-01-01,15,2,2,2,0.0,0,3,0.67
Central City,2026-01-01,16,10,9,8,4.88,1,3,3.0
Central City,2026-01-02,8,2,2,1,0.0,1,2,1.0
Central City,2026-01-02,9,3,3,2,0.0,1,3,1.0
Central City,2026-01-02,10,8,7,6,4.5,1,3,2.33
Central City,2026-01-02,11,7,6,6,9.67,0,3,2.0
Central City,2026-01-02,12,5,5,5,0.2,0,3,1.67
Central City,2026-01-02,13,4,3,3,0.0,0,3,1.0
Central City,2026-01-02,14,6,6,6,8.67,0,3,2.0
Central City,2026-01-02,15,10,9,8,7.38,1,3,3.0
Central City,2026-01-02,16,7,5,4,0.0,1,3,1.67
Central City,2026-01-03,7,1,1,1,7.0,0,0,
Central City,2026-01-03,8,9,7,7,10.57,0,2,3.5
Central City,2026-01-03,9,15,14,14,16.14,0,3,4.67
Central City,2026-01-03,10,16,16,14,54.93,2,3,5.33
Central City,2026-01-03,11,5,5,3,65.0,2,3,1.67
Central City,2026-01-03,12,5,5,5,20.2,0,3,1.67
Central City,2026-01-05,8,3,3,3,0.0,0,2,1.5
Central City,2026-01-05,9,3,3,3,0.0,0,3,1.0
Central City,2026-01-05,10,7,7,7,0.0,0,3,2.33
Central City,2026-01-05,11,9,9,9,15.22,0,3,3.0
Central City,2026-01-05,12,1,1,1,0.0,0,3,0.33
Central City,2026-01-05,13,6,5,3,0.0,2,3,1.67
Central City,2026-01-05,14,10,7,7,1.71,0,3,2.33
Central City,2026-01-05,15,16,15,14,20.86,1,3,5.0
Central City,2026-01-05,16,8,7,6,42.33,1,3,2.33
Central City,2026-01-06,7,1,1,1,12.0,0,0,
Central City,2026-01-06,8,5,5,4,0.0,1,2,2.5
Central City,2026-01-06,9,4,4,4,3.25,0,3,1.33
Central City,2026-01-06,10,8,8,8,10.5,0,3,2.67
Central City,2026-01-06,11,8,8,8,13.0,0,3,2.67
Central City,2026-01-06,12,3,3,3,0.0,0,3,1.0
Central City,2026-01-06,14,2,2,2,0.0,0,3,0.67
Central City,2026-01-06,15,11,11,11,11.45,0,3,3.67
Central City,2026-01-06,16,14,14,13,41.69,1,3,4.67
Central City,2026-01-07,8,3,3,3,1.67,0,2,1.5
Central City,2026-01-07,9,4,3,3,0.0,0,3,1.0
Central City,2026-01-07,10,13,11,10,28.5,1,3,3.67
Central City,2026-01-07,11,7,7,5,27.8,2,3,2.33
Central City,2026-01-07,12,3,3,3,12.0,0,3,1.0
Central City,2026-01-07,13,8,8,8,4.62,0,3,2.67
Central City,2026-01-07,14,6,6,5,2.8,1,3,2.0
Central City,2026-01-07,15,13,11,10,16.0,1,3,3.67
Central City,2026-01-07,16,10,9,9,30.89,0,3,3.0
Central City,2026-01-07,17,1,1,1,35.0,0,0,
Central City,2026-01-08,8,3,3,3,0.0,0,2,1.5
Central City,2026-01-08,9,8,8,8,5.12,0,3,2.67
Central City,2026-01-08,10,9,9,9,8.22,0,3,3.0
Central City,2026-01-08,11,12,11,10,5.6,1,3,3.67
Central City,2026-01-08,12,1,1,1,0.0,0,3,0.33
Central City,2026-01-08,13,8,5,5,0.6,0,3,1.67
