hour_of_day,scheduled_appointments,attended_appointments,completed_appointments,cancelled_appointments,no_show_appointments,walked_out_appointments,completion_rate_pct,cancellation_rate_pct,no_show_rate_pct,walkout_rate_pct,avg_wait_time_minutes,median_wait_time_minutes,p90_wait_time_minutes,pct_waiting_over_15_minutes,pct_waiting_over_30_minutes,avg_late_arrival_minutes,pct_arriving_late,avg_service_duration_minutes,avg_satisfaction_score,complaint_rate_pct
7,225,225,214,0,0,11,95.11,0.0,0.0,4.89,9.25,8.0,19.7,16.82,1.4,0.0,0.0,21.21,4.52,7.01
8,1906,1680,1611,53,173,69,84.52,2.78,9.34,4.11,5.14,0.0,20.0,14.34,3.1,1.98,29.94,19.32,4.62,5.09
9,3679,3402,3280,126,151,122,89.15,3.42,4.25,3.59,5.24,0.0,18.0,12.35,3.9,2.85,38.39,19.51,4.62,4.94
10,4755,4346,4044,188,221,302,85.05,3.95,4.84,6.95,10.84,3.0,33.0,26.38,11.52,2.39,32.37,19.51,4.44,6.95
11,3168,2872,2683,137,159,189,84.69,4.32,5.25,6.58,9.43,0.0,29.0,22.1,9.47,2.61,35.9,19.48,4.48,6.22
12,1698,1551,1480,65,82,71,87.16,3.83,5.02,4.58,3.38,0.0,11.0,7.84,2.64,2.54,35.85,19.24,4.65,4.12
13,1423,1324,1273,44,55,51,89.46,3.09,3.99,3.85,0.91,0.0,0.0,1.81,0.31,2.16,30.06,19.57,4.74,3.14
14,2531,2356,2278,80,95,78,90.0,3.16,3.88,3.31,2.78,0.0,11.0,5.93,1.14,1.95,28.23,19.56,4.68,3.69
15,3419,3120,2975,144,155,145,87.01,4.21,4.73,4.65,7.26,0.0,24.0,18.35,6.76,2.39,34.36,19.47,4.57,6.02
16,2348,2115,1996,102,131,119,85.01,4.34,5.83,5.63,9.71,0.0,34.0,24.45,11.87,3.9,49.22,20.0,4.47,6.91
17,59,59,56,0,0,3,94.92,0.0,0.0,5.08,6.64,0.0,29.5,17.86,8.93,16.29,100.0,18.82,4.55,3.57
