clinic_location,weekday,hour_of_day,avg_scheduled_appointments,avg_attended_appointments,avg_providers_scheduled,avg_appointments_per_provider,avg_wait_time_minutes,avg_walkouts,clinic_days,demand_coverage_mismatch
Central City,Saturday,11,9.907488986784141,9.233480176211454,3.0,3.0770925110132157,32.72409691629956,1.3656387665198237,26,True
Central City,Saturday,10,14.839541547277937,13.810888252148997,3.0,4.603467048710601,32.03080229226361,1.8624641833810889,26,True
Central City,Monday,16,9.796536796536797,8.722943722943723,3.0,2.9073160173160173,28.241904761904763,1.0129870129870129,26,True
Central City,Monday,17,1.3333333333333333,1.3333333333333333,0.0,,28.166666666666668,0.0,5,True
West End,Saturday,10,8.411764705882353,7.470588235294118,2.0,3.735294117647059,24.22064171122995,1.3101604278074865,26,True
West End,Thursday,10,5.884057971014493,5.318840579710145,2.0,2.6594202898550723,21.720000000000002,0.5507246376811594,26,True
Central City,Tuesday,16,7.936416184971098,7.329479768786127,3.0,2.4445086705202312,21.54329479768786,0.5895953757225434,26,True
Central City,Wednesday,11,7.5369127516778525,6.671140939597316,3.0,2.224161073825503,21.03006711409396,0.7248322147651006,25,True
Central City,Saturday,12,5.178217821782178,5.01980198019802,3.0,1.6731683168316833,20.913899999999998,0.7029702970297029,26,True
Central City,Monday,15,12.882352941176471,11.313725490196079,3.0,3.7713071895424837,19.940882352941177,1.2549019607843137,26,True
Central City,Wednesday,16,9.009615384615385,8.399038461538462,3.0,2.7989903846153847,19.79697115384615,0.6971153846153846,25,True
Central City,Friday,16,8.90625,7.677083333333333,3.0,2.55828125,18.79421875,1.0,26,True
Central City,Monday,10,11.621428571428572,10.367857142857142,3.0,3.45625,18.760535714285712,1.6464285714285714,26,True
West End,Friday,11,4.875,4.241071428571429,2.0,2.1205357142857144,18.046875,0.3125,26,True
Central City,Friday,11,7.377358490566038,6.70440251572327,3.0,2.2344654088050313,17.915220125786163,0.7295597484276729,26,True
Central City,Monday,11,8.455445544554456,7.589108910891089,3.0,2.528861386138614,17.657524752475247,0.7673267326732673,26,True
West End,Thursday,9,6.863013698630137,6.47945205479452,2.0,3.23972602739726,17.580555555555556,0.3150684931506849,25,True
West End,Saturday,7,1.7142857142857142,1.7142857142857142,0.0,,17.5,0.42857142857142855,10,True
Central City,Wednesday,10,10.510917030567686,9.851528384279476,3.0,3.283580786026201,17.002183406113538,0.6593886462882096,25,True
West End,Saturday,11,5.0,4.473214285714286,2.0,2.236607142857143,16.976875,0.23214285714285715,26,True
Central City,Wednesday,17,1.3333333333333333,1.3333333333333333,0.0,,16.333333333333332,0.0,5,True
West End,Monday,10,7.648044692737431,6.692737430167598,2.0,3.346368715083799,16.172737430167597,0.8715083798882681,26,True
West End,Friday,10,7.881720430107527,7.413978494623656,2.0,3.706989247311828,16.10720430107527,0.8064516129032258,26,True
West End,Tuesday,10,7.1265822784810124,6.310126582278481,2.0,3.1550632911392404,15.769873417721518,0.620253164556962,26,True
West End,Saturday,9,8.32994923857868,7.66497461928934,2.0,3.83248730964467,15.106192893401015,0.7918781725888325,26,True
West End,Wednesday,17,1.0,1.0,0.0,,15.0,0.0,2,True
West End,Monday,9,6.867469879518072,6.319277108433735,2.0,3.1596385542168677,14.362469879518073,0.41566265060240964,26,True
