weekday,scheduled_hour,non_cancelled_appointments,no_show_appointments,no_show_rate_pct
Friday,8,271,34,12.55
Monday,8,325,34,10.46
Tuesday,8,281,26,9.25
Saturday,8,361,33,9.14
Thursday,8,275,23,8.36
Wednesday,8,295,23,7.8
Monday,10,827,60,7.26
Monday,12,321,23,7.17
Monday,11,591,41,6.94
Monday,15,766,51,6.66
Monday,9,600,39,6.5
Monday,13,283,18,6.36
Monday,16,599,36,6.01
Friday,13,282,16,5.67
Saturday,9,656,37,5.64
Tuesday,15,693,38,5.48
Friday,14,421,23,5.46
Tuesday,10,715,39,5.45
Tuesday,16,481,25,5.2
Thursday,12,271,14,5.17
Thursday,11,533,26,4.88
Saturday,11,636,31,4.87
Friday,16,519,25,4.82
Tuesday,14,438,21,4.79
Thursday,13,254,12,4.72
Monday,14,502,23,4.58
Wednesday,10,682,31,4.55
Wednesday,11,489,22,4.5
Friday,9,471,21,4.46
Thursday,16,520,23,4.42
Tuesday,9,504,22,4.37
Friday,15,676,29,4.29
Wednesday,16,520,22,4.23
Tuesday,12,265,11,4.15
Tuesday,11,515,21,4.08
Saturday,12,345,14,4.06
Thursday,15,647,26,4.02
Friday,12,250,10,4.0
Saturday,10,951,38,4.0
Friday,10,710,28,3.94
Wednesday,9,521,20,3.84
Wednesday,12,263,10,3.8
Thursday,10,705,25,3.55
Friday,11,543,18,3.31
Thursday,14,426,14,3.29
Wednesday,14,448,14,3.12
Thursday,9,509,12,2.36
Wednesday,13,252,5,1.98
Wednesday,15,630,11,1.75
Tuesday,13,234,4,1.71
