clinic_location,hour_of_day,avg_scheduled_providers,avg_required_provider_equivalents,avg_provider_gap,peak_provider_gap,avg_wait_time_minutes,avg_attended_appointments
Central City,10,3.0,3.58595825426945,0.5859354838709678,6.73,14.358709677419354,9.393548387096773
West End,9,2.0,2.1122994652406417,0.11233766233766235,4.53,10.180522875816992,5.616883116883117
Central City,15,3.0,3.7599939200486396,0.759922480620155,3.98,11.497596899224806,9.51937984496124
Central City,9,3.0,2.8312460468058194,-0.1690967741935484,3.75,3.951032258064516,6.819354838709677
West End,10,2.0,2.0891840607210628,0.08935483870967743,3.43,15.346129032258066,5.922580645161291
Central City,14,3.0,2.429700562395501,-0.5704651162790698,3.41,2.6439534883720928,5.930232558139535
Central City,16,3.0,2.7817297461620307,-0.21775193798449613,3.18,17.982170542635657,6.961240310077519
Central City,11,3.0,2.4547754585705253,-0.5455483870967742,3.18,16.27316129032258,6.380645161290323
Northside,10,3.0,2.5959519291587605,-0.4043225806451613,2.31,3.584064516129032,7.187096774193549
Central City,8,2.0,1.3367548361626531,-0.6634899328859061,2.2,1.998013698630137,3.3624161073825505
Northside,14,3.0,1.703720858422109,-1.2960629921259843,2.0,0.7964285714285714,4.7637795275590555
West End,14,2.0,1.5707889454994597,-0.42913385826771655,1.88,3.74944,4.062992125984252
West End,8,1.0,1.3014705882352942,0.30125,1.84,9.572,3.4407894736842106
Lakeside,10,3.0,1.7119544592030362,-1.2881290322580645,1.8,1.1410967741935485,5.535483870967742
West End,11,2.0,1.3246904024767803,-0.6751973684210526,1.76,12.203618421052632,3.598684210526316
Lakeside,7,0.0,0.4336134453781513,0.4337142857142857,1.69,7.190571428571428,1.2857142857142858
Central City,7,0.0,0.5767973856209151,0.5766666666666667,1.61,9.431086956521739,1.25
Northside,7,0.0,0.4242081447963801,0.42480769230769233,1.57,8.41,1.1153846153846154
West End,12,2.0,0.9300749711649366,-1.0698529411764706,1.53,3.744015151515151,2.3676470588235294
West End,7,0.0,0.42962184873949577,0.43,1.33,9.820754716981131,1.1071428571428572
West End,15,2.0,1.5928670680870776,-0.40692913385826773,1.31,5.608809523809524,4.244094488188976
Northside,9,3.0,1.8907020872865274,-1.109483870967742,1.27,0.9496753246753247,5.4
Northside,15,3.0,2.014743882048944,-0.9847286821705427,1.18,2.276046511627907,5.651162790697675
West End,16,2.0,1.1418406072106262,-0.8584677419354839,1.18,5.096639344262295,3.056451612903226
Northside,11,3.0,1.6650114591291063,-1.3347402597402598,1.08,2.686862745098039,4.8311688311688314
Lakeside,9,3.0,1.2826585179526355,-1.7175324675324675,0.98,0.3107142857142857,4.175324675324675
Central City,12,3.0,1.3148941695883651,-1.6852317880794703,0.94,7.09891891891892,3.403973509933775
Northside,17,0.0,0.4235294117647059,0.42299999999999993,0.94,0.7,1.1
Central City,17,0.0,0.4441602728047741,0.44434782608695655,0.92,11.75,1.1304347826086956
Lakeside,15,3.0,1.4745710784313726,-1.525390625,0.88,0.5867460317460317,4.875
Central City,13,2.9761904761904763,1.4523809523809523,-1.5237301587301588,0.84,1.075079365079365,3.507936507936508
Northside,8,2.0,0.8588235294117647,-1.1412142857142857,0.75,0.8924444444444445,2.5428571428571427
West End,17,0.0,0.33511586452762926,0.33545454545454545,0.75,3.0,1.0909090909090908
Lakeside,14,3.0,1.156078431372549,-1.8444800000000001,0.73,0.16648,3.76
West End,13,1.982905982905983,0.9245852187028658,-1.0582905982905981,0.63,1.617391304347826,2.427350427350427
Lakeside,17,0.0,0.28104575163398693,0.28111111111111114,0.53,0.0,1.1111111111111112
Northside,13,2.9754098360655736,0.922854387656702,-2.052295081967213,0.51,0.17369747899159665,2.6721311475409837
Northside,16,3.0,1.2912071078431373,-1.70875,0.33,1.143984375,3.65625
Lakeside,16,3.0,0.9281045751633986,-2.071984126984127,0.29,0.2534426229508197,2.9365079365079363
Lakeside,8,2.0,0.6899055918663762,-1.310074074074074,0.27,0.540703125,2.2222222222222223
Northside,12,3.0,0.9294662309368191,-2.0702083333333334,0.08,0.2875,2.6666666666666665
Lakeside,12,3.0,0.7215117931230464,-2.2784782608695653,0.02,0.032781954887218044,2.398550724637681
Lakeside,11,3.0,1.2020240354206198,-1.7976774193548386,-0.14,0.5845454545454546,3.8193548387096774
Lakeside,13,3.0,0.7358908780903666,-2.2640000000000002,-0.49,0.0,2.365217391304348
