staff_id,role,shift_start,shift_end,clinic_location
CE-PR-01,Provider,2026-01-01 08:00:00,2026-01-01 17:00:00,Central City
CE-PR-02,Provider,2026-01-01 08:00:00,2026-01-01 17:00:00,Central City
CE-SU-01,Support,2026-01-01 08:00:00,2026-01-01 17:00:00,Central City
CE-SU-02,Support,2026-01-01 08:00:00,2026-01-01 17:00:00,Central City
CE-SU-03,Support,2026-01-01 08:00:00,2026-01-01 17:00:00,Central City
CE-SU-04,Support,2026-01-01 08:00:00,2026-01-01 17:00:00,Central City
CE-SU-05,Support,2026-01-01 08:00:00,2026-01-01 17:00:00,Central City
CE-PR-03,Provider,2026-01-01 09:00:00,2026-01-01 17:00:00,Central City
CE-PR-01,Provider,2026-01-02 08:00:00,2026-01-02 17:00:00,Central City
CE-PR-02,Provider,2026-01-02 08:00:00,2026-01-02 17:00:00,Central City
CE-SU-01,Support,2026-01-02 08:00:00,2026-01-02 17:00:00,Central City
CE-SU-02,Support,2026-01-02 08:00:00,2026-01-02 17:00:00,Central City
CE-SU-03,Support,2026-01-02 08:00:00,2026-01-02 17:00:00,Central City
CE-SU-04,Support,2026-01-02 08:00:00,2026-01-02 17:00:00,Central City
CE-SU-05,Support,2026-01-02 08:00:00,2026-01-02 17:00:00,Central City
CE-PR-03,Provider,2026-01-02 09:00:00,2026-01-02 17:00:00,Central City
CE-PR-01,Provider,2026-01-03 08:00:00,2026-01-03 13:00:00,Central City
CE-PR-02,Provider,2026-01-03 08:00:00,2026-01-03 13:00:00,Central City
CE-SU-01,Support,2026-01-03 08:00:00,2026-01-03 13:00:00,Central City
CE-SU-02,Support,2026-01-03 08:00:00,2026-01-03 13:00:00,Central City
CE-SU-03,Support,2026-01-03 08:00:00,2026-01-03 13:00:00,Central City
CE-SU-04,Support,2026-01-03 08:00:00,2026-01-03 13:00:00,Central City
CE-SU-05,Support,2026-01-03 08:00:00,2026-01-03 13:00:00,Central City
CE-PR-03,Provider,2026-01-03 09:00:00,2026-01-03 13:00:00,Central City
CE-PR-01,Provider,2026-01-05 08:00:00,2026-01-05 17:00:00,Central City
CE-PR-02,Provider,2026-01-05 08:00:00,2026-01-05 17:00:00,Central City
CE-SU-01,Support,2026-01-05 08:00:00,2026-01-05 17:00:00,Central City
CE-SU-02,Support,2026-01-05 08:00:00,2026-01-05 17:00:00,Central City
CE-SU-03,Support,2026-01-05 08:00:00,2026-01-05 17:00:00,Central City
CE-SU-04,Support,2026-01-05 08:00:00,2026-01-05 17:00:00,Central City
CE-SU-05,Support,2026-01-05 08:00:00,2026-01-05 17:00:00,Central City
CE-PR-03,Provider,2026-01-05 09:00:00,2026-01-05 17:00:00,Central City
CE-PR-01,Provider,2026-01-06 08:00:00,2026-01-06 17:00:00,Central City
CE-PR-02,Provider,2026-01-06 08:00:00,2026-01-06 17:00:00,Central City
CE-SU-01,Support,2026-01-06 08:00:00,2026-01-06 17:00:00,Central City
CE-SU-02,Support,2026-01-06 08:00:00,2026-01-06 17:00:00,Central City
CE-SU-03,Support,2026-01-06 08:00:00,2026-01-06 17:00:00,Central City
CE-SU-04,Support,2026-01-06 08:00:00,2026-01-06 17:00:00,Central City
CE-SU-05,Support,2026-01-06 08:00:00,2026-01-06 17:00:00,Central City
CE-PR-03,Provider,2026-01-06 09:00:00,2026-01-06 17:00:00,Central City
CE-PR-01,Provider,2026-01-07 08:00:00,2026-01-07 17:00:00,Central City
